,Mean Coeff,σ Coeff
rh_G_oc-temp_med-Parahip,0.02153278108806385,0.049423572400383455
lh_S_oc_middle_and_Lunatus,0.020845963243354776,0.031710804623039573
rh_G_pariet_inf-Angular,-0.020488770540683113,0.019051423051120717
lh_S_oc_sup_and_transversal,0.020441440648569464,0.037838710513068904
rh_G_orbital,0.020197609239962038,0.03402743993640186
rh_G_and_S_frontomargin,-0.019784356426016322,0.025398179663424527
lh_S_orbital_lateral,0.01968741845983466,0.029329167239825645
lh_G_temporal_middle,0.018936076866064213,0.028420224845833078
rh_G_front_inf-Orbital,0.01884421762463489,0.03436448485890784
rh_G_occipital_middle,-0.018532498578084824,0.03183440903761005
lh_G_temporal_inf,-0.01834127472216444,0.048058946809890285
rh_S_intrapariet_and_P_trans,-0.01817714521278626,0.029712142145846106
