,Mean Coeff,σ Coeff
rh_G_temp_sup-Lateral,-0.01488393222715365,0.04209811763416536
lh_G_pariet_inf-Supramar,0.014584457293567,0.041251074608827314
lh_S_interm_prim-Jensen,0.012935124125588074,0.030692238465458915
lh_G_and_S_occipital_inf,0.010829054340841837,0.030629191032987526
rh_S_cingul-Marginalis,0.0091888185680928,0.017031002525594866
lh_G_oc-temp_med-Parahip,-0.009120825125280138,0.01804978922031083
lh_G_and_S_subcentral,0.0085993985715405,0.022027088053549155
rh_G_and_S_transv_frontopol,0.007747975258392387,0.0219145833826994
lh_Lat_Fis-post,0.0073492745437441125,0.020786887466732525
lh_G_temp_sup-Plan_tempo,0.0069609856215540125,0.019688640546971586
lh_G_precuneus,0.006890912481259888,0.01949044377624754
rh_S_oc_middle_and_Lunatus,0.006541333203527838,0.018501684264861026
lh_G_and_S_frontomargin,0.006328144546177812,0.017898695683723997
rh_S_parieto_occipital,0.006292936867171,0.017799113329421766
lh_G_and_S_transv_frontopol,0.0058873362456818,0.016651901529787804
rh_S_pericallosal,0.004397796534317088,0.012438847006777241
lh_S_intrapariet_and_P_trans,0.00321272335973405,0.009086953894977502
lh_G_front_sup,0.0020363220433438126,0.005759588502112226
lh_Lat_Fis-ant-Horizont,0.0008619406644364,0.0024379363552136674
rh_S_circular_insula_sup,-0.0007388351547707875,0.0020897413924697446
lh_G_oc-temp_med-Lingual,-0.0001768681089297625,0.0005002585567995041
lh_S_orbital_med-olfact,0.0,0.0
lh_G_parietal_sup,0.0,0.0
lh_S_postcentral,0.0,0.0
rh_S_occipital_ant,0.0,0.0
lh_S_parieto_occipital,0.0,0.0
rh_G_temp_sup-G_T_transv,0.0,0.0
lh_G_subcallosal,0.0,0.0
rh_S_intrapariet_and_P_trans,0.0,0.0
rh_S_postcentral,0.0,0.0
lh_S_occipital_ant,0.0,0.0
rh_S_suborbital,0.0,0.0
lh_S_front_sup,0.0,0.0
rh_S_temporal_sup,0.0,0.0
lh_G_temp_sup-Lateral,0.0,0.0
rh_G_and_S_cingul-Mid-Ant,0.0,0.0
lh_G_orbital,0.0,0.0
rh_G_Ins_lg_and_S_cent_ins,0.0,0.0
rh_G_parietal_sup,0.0,0.0
rh_G_pariet_inf-Supramar,0.0,0.0
rh_G_pariet_inf-Angular,0.0,0.0
lh_G_insular_short,0.0,0.0
rh_G_occipital_middle,0.0,0.0
lh_G_occipital_middle,0.0,0.0
rh_Lat_Fis-post,0.0,0.0
lh_G_oc-temp_lat-fusifor,0.0,0.0
rh_S_front_middle,0.0,0.0
lh_G_cingul-Post-dorsal,0.0,0.0
rh_G_front_inf-Triangul,0.0,0.0
rh_G_front_inf-Opercular,0.0,0.0
rh_S_circular_insula_ant,0.0,0.0
rh_G_and_S_cingul-Mid-Post,0.0,0.0
rh_S_collat_transv_post,0.0,0.0
rh_S_front_inf,0.0,0.0
lh_Pole_occipital,0.0,0.0
